SMILES,Reward
CN(C)c1cccc(CNC(=O)c2cnc(N3CCNCC3)c(Cl)c2)c1,0.5
CCN(CC)C(=O)Nc1ccc(-c2ccc(N3CCNCC3)c(C(F)(F)F)c2)cc1,0.5
O=C(NCC#Cc1cccnc1N1CCNCC1)Nc1ccccc1Cl,0.5
Cc1cccc(N2CCN(C(=O)CCc3ccc(Cl)cc3)CC2)c1C,0.5
CC(C)C(Nc1ccccc1CN1CCNC1=O)c1ccc(Cl)cc1,0.5
Cc1ccc(N2CCN(C(=O)CCc3ccc(Cl)cc3)CC2)c(C)c1,0.5
O=C(Nc1ccc(F)cc1)N1CCNCC1,0.444444444
NC(=O)NCCN1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,0.444444444
COc1ccc(CNC(=O)N2CCN(c3ccccc3Cl)CC2)cc1Cl,0.444444444
COc1ccc(N2CCN(C(=O)NCc3ccc(OC)c(Cl)c3)CC2)cc1,0.444444444
CNc1ccc(C(c2ccc(N(C)CC3CCNCC3)cc2)N2CCN(C(=O)c3ccc(Cl)c(Cl)c3)CC2)cc1,0.444444444
CCNC(=O)c1cc(NC(C)c2ccc(N3CCNCC3)c(F)c2)ccc1Cl,0.444444444
Cc1ccc(C(=O)N2CCN(c3c(N)cccc3Cl)CC2)cc1,0.444444444
CNc1ccc(C)cc1CN1CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)CC1,0.444444444
CN(C)c1ccc(CNc2ccc(N3CCNC(=O)C3)c(Cl)c2)cc1,0.444444444
CCCC(=O)N1CCN(c2ccc(N)cc2Cl)CC1,0.444444444
O=C(CCl)N1CCN(c2ncc(Cl)cc2Cl)CC1,0.444444444
O=C(CCl)N1CCN(c2ccccc2F)CC1,0.444444444
CC(C)C(c1ccc(Cl)cc1)N1CCC(N2CCc3ccccc3NC2=O)CC1,0.444444444
CCC(=O)N1CCN(c2ccc(N)cc2Cl)CC1,0.444444444
Cc1cccc(N2CCN(C(=O)CCl)CC2)c1C,0.444444444
