ID,SMILES
R1974,CC(N)=O.CC(O)CNc1nc(Cl)c2nc[nH]c2n1>>CC(=O)Nc1nc(NCC(C)O)nc2[nH]cnc12
R1977,CC(O)CN.Fc1nc(Cl)c2nc[nH]c2n1>>CC(O)CNc1nc(Cl)c2nc[nH]c2n1
R1983,CC(O)CN.Cn1cc(C(=O)O)cn1>>CC(O)CNC(=O)c1cnn(C)c1
R1984,CC(O)CN.COC(=O)c1cnc(C(=O)O)cn1>>COC(=O)c1cnc(C(=O)NCC(C)O)cn1
R1992,CC(O)CN.O=C(Cl)C(F)(F)F>>CC(O)CNC(=O)C(F)(F)F
R2005,CC(C)NCC(N)=O.Clc1nc(Cl)c2nc[nH]c2n1>>CC(C)NCC(=O)Nc1nc(Cl)nc2[nH]cnc12
R2007,CC(C)(C)OC(=O)N(CC(N)=O)C(=O)C1CCCCC1.Clc1nc(Cl)c2nc[nH]c2n1>>CC(C)(C)OC(=O)N(CC(=O)Nc1nc(Cl)nc2[nH]cnc12)C(=O)C1CCCCC1
R2008,CC(=O)N(C)CC(N)=O.Clc1nc(Cl)c2nc[nH]c2n1>>CC(=O)N(C)CC(=O)Nc1nc(Cl)nc2[nH]cnc12
R2009,CN(CC(N)=O)C(=O)C1CCCCC1.Clc1nc(Cl)c2nc[nH]c2n1>>CN(CC(=O)Nc1nc(Cl)nc2[nH]cnc12)C(=O)C1CCCCC1
R2033,O=C(O)C(F)(F)F>>O=C(Cl)C(F)(F)F
R2058,CC(CN)=Nn1cnnc1.O=C(OC(=O)C(F)(F)F)C(F)(F)F>>CC(CNC(=O)C(F)(F)F)=Nn1cnnc1
R2077,CC(CN)Oc1ccc(-c2ccccc2)cc1.O=C(OC(=O)C(F)(F)F)C(F)(F)F>>CC(CNC(=O)C(F)(F)F)Oc1ccc(-c2ccccc2)cc1
R2273,CNc1cc(Cl)ncn1.O=C(Cl)C1CCCCC1>>CN(C(=O)C1CCCCC1)c1cc(Cl)ncn1
R2280,CNCCNn1cnnc1.O=C(Cl)C1CCCCC1>>CN(CCNn1cnnc1)C(=O)C1CCCCC1
R2283,CNCCO.O=C(Cl)C1CCCCC1>>CN(CCO)C(=O)C1CCCCC1
R2285,CCOC(=O)CNC(=O)OC(C)(C)C.O=C(Cl)C1CCCCC1>>CCOC(=O)CN(C(=O)OC(C)(C)C)C(=O)C1CCCCC1
R2286,CNCC(=O)O.O=C(Cl)C1CCCCC1>>CN(CC(=O)O)C(=O)C1CCCCC1
R2289,CCOC(=O)CNC.O=C(Cl)C1CCCCC1>>CCOC(=O)CN(C)C(=O)C1CCCCC1
R2316,CN(C(=O)CNC(=O)OCc1ccccc1)c1ncnc(Cl)c1C(=O)CCc1ccccc1.O=C(O)C1CCCCC1>>CN(C(=O)CN(C(=O)OCc1ccccc1)C(=O)C1CCCCC1)c1ncnc(Cl)c1C(=O)CCc1ccccc1
R2322,CNCC(=O)OC.O=C(O)C1CCCCC1>>COC(=O)CN(C)C(=O)C1CCCCC1
R2323,CC(C)(C)OC(=O)NCC(N)=O.O=C(O)C1CCCCC1>>CC(C)(C)OC(=O)N(CC(N)=O)C(=O)C1CCCCC1
R2325,CNCC(=O)Nn1cnnc1.O=C(O)C1CCCCC1>>CN(CC(=O)Nn1cnnc1)C(=O)C1CCCCC1
R2393,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.NC(=O)C1CCCCC1>>CC(C)(C)OC(=O)NC(=O)C1CCCCC1
R240,Nn1cnnc1.O=C(O)CBr>>O=C(CBr)Nn1cnnc1
R2424,NCC(=O)Nn1cnnc1.O=C(Br)CBr>>O=C(CBr)NCC(=O)Nn1cnnc1
R2428,CC(C)(C)OC(=O)CBr.CCOC(=O)NS(C)(=O)=O>>CCOC(=O)N(CC(=O)OC(C)(C)C)S(C)(=O)=O
R245,Nc1ccc(Cl)cc1N.O=C(O)CBr>>Clc1ccc2[nH]c(CBr)nc2c1
R2524,C[C@H](O)C(=O)NS(C)(=O)=O.O=C(CBr)OCc1ccccc1>>C[C@H](O)C(=O)N(CC(=O)OCc1ccccc1)S(C)(=O)=O
R2827,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CCOC(=O)CNC(C)=O>>CCOC(=O)CN(C(C)=O)C(=O)OC(C)(C)C
R2853,Brc1cccnc1.COc1ccc(CC#N)cc1>>COc1ccc(C(C#N)c2cccnc2)cc1
R2966,CC(C)(C)[Si](C)(C)Cl.CC(O)CNC(=O)C(F)(F)F>>CC(CNC(=O)C(F)(F)F)O[Si](C)(C)C(C)(C)C
R2976,CC(C)(C)[Si](C)(C)Cl.COC(=O)[C@H](C)O>>COC(=O)[C@H](C)O[Si](C)(C)C(C)(C)C
R301,CNc1cc(Cl)ncn1.O=C(Cl)CCc1ccccc1>>CNc1ncnc(Cl)c1C(=O)CCc1ccccc1
R3226,CCOC(=O)CN.C[C@H](O)C(=O)O>>CCOC(=O)CNC(=O)[C@H](C)O
R3233,CCOC(=O)CN.CN(CC(=O)O)C(=O)C1CCCCC1>>CCOC(=O)CNC(=O)CN(C)C(=O)C1CCCCC1
R3490,CNCC(=O)O>>CNCC(=O)Cl
R350,CCOC(=O)Cl.CS(N)(=O)=O>>CCOC(=O)NS(C)(=O)=O
R3502,CC(=O)OCC(=O)O.NCC(=O)Nn1cnnc1>>CC(=O)OCC(=O)NCC(=O)Nn1cnnc1
R3505,CC(=O)OCC(=O)O.O=C(CNc1cnc(Cl)nc1)Nn1cnnc1>>CC(=O)OCC(=O)N(CC(=O)Nn1cnnc1)c1cnc(Cl)nc1
R3520,CNC(C)=O.O=[N+]([O-])c1c(Cl)ncnc1Cl>>CC(=O)N(C)c1ncnc(Cl)c1[N+](=O)[O-]
R3539,CC(C)(C)OC(=O)NCC(=O)O.Nc1nc(Cl)nc2[nH]cnc12>>CC(C)(C)OC(=O)NCC(=O)Nc1nc(Cl)nc2[nH]cnc12
R3549,CCOS(=O)(=O)OCC.Oc1ccc(-c2ccccc2)cc1>>CCOc1ccc(-c2ccccc2)cc1
R3553,CC(Br)C#N.Oc1ccc(-c2ccccc2)cc1>>CC(C#N)Oc1ccc(-c2ccccc2)cc1
R3583,CC=O>>O=C=O
