SMILES,Reward
CC(C)(C)OC(=O)N(CCO)C(=O)C1CCCCC1,1
COc1ccc(O)c(CN(CC(=O)Nn2cnnc2)C(=O)CO)c1,1
COC(=O)N(CC(=O)NCCS)S(C)(=O)=O,1
CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)C(=O)C1CCCCC1,1
CC(O)CN(C(=O)[C@H](C)O)C(=O)C(F)(F)F,1
O=C(CN(C(=O)O)C(=O)C1CCCCC1)Nn1cnnc1,1
CC(O)CN(C(=O)c1cnn(C)c1)C(=O)[C@H](C)O,1
CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)S(C)(=O)=O,1
CC(C)NCC(=O)Nc1nc(N(C(=O)OC(C)(C)C)[C@H](CO)C(C)C)nc2[nH]cnc12,1
COc1ccc(C(=O)[O-])cc1C(C)=O,1
CCOC(=O)c1cnc(C(=O)O)cn1,1
C[C@H](O)C(=O)N(C)CC(=O)Nn1cnnc1,1
COc1ccc(C(=O)OCC(=O)NCC(=O)Nn2cnnc2)cc1,1
COc1ccc(C(=O)N(CC(=O)Nn2cnnc2)C(=O)CO)cc1,1
CC(C)N(CC(=O)Nn1cnnc1)C(=O)CO,1
CC(=O)N(CC(=O)Nn1cnnc1)C(=O)O,1
COc1ccc(C(=O)c2cccnc2)cc1C(C)=O,1
CS(=O)(=O)N(CC(=O)Nn1cnnc1)C(=O)O,1
CN(CCNn1cnnc1)S(C)(=O)=O,1
CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)C(=O)CO,1
CCOC(=O)CN(C)C(=O)C1CCCCC1,1
CC(O)CNC(=O)c1cnc(C(=O)O)cn1,1
CC(C)(C)OC(=O)N(CC(=O)Nc1nc(Cl)nc2[nH]cnc12)S(C)(=O)=O,1
CC(C)NCC(=O)Nc1nc(Cl)nc2[nH]cnc12,1
CNc1cc(Cl)ncn1,1
CC(=O)N(CC(C)O)C(=O)C(F)(F)F,1
CC(=O)N(CC(C)=Nn1cnnc1)C(=O)C(F)(F)F,1
CC(=O)N(C)c1ncnc(Cl)c1[N+](=O)[O-],1
CC(C)(C)OC(=O)N(CCNn1cnnc1)C(=O)C1CCCCC1,1
CNCC(=O)N(C)c1ncnc(Cl)c1C(C)=O,1
CCOC(=O)CNC(=O)[C@H](C)O,1
O=C(CO)NCC(=O)Nn1cnnc1,1
COc1ccc(C(=O)OCC(=O)N(CC(=O)Nn2cnnc2)C(=O)OC(C)(C)C)cc1,1
CC(O)CNC(=O)C(F)(F)F,1
CC(C)(C)OC(=O)N(Cc1nc2cc(Cl)ccc2[nH]1)S(C)(=O)=O,1
CC(O)CN(C(=O)c1cnn(C)c1)C(=O)C(F)(F)F,1
CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)c1ccnc(CO)c1,1
COc1ccc(C(=O)[O-])cc1C(C)O,1
CC(=O)OCC(=O)NCC(=O)Nn1cnnc1,1
CCOC(=O)CN(C(=O)OC)S(C)(=O)=O,1
CC(CNC(=O)C(F)(F)F)=Nn1cnnc1,1
CC(=O)N(C)c1cc(Cl)ncn1,1
Cc1cc(C(=O)O)ccc1NS(C)(=O)=O,1
OCc1cc(Br)ccn1,1
CCOC(=O)CN(C(=O)[C@H](C)O)S(C)(=O)=O,1
CC(=O)CNC(=O)C(F)(F)F,1
CC(C)(C)OC(=O)NCC(=O)Nn1cnnc1,1
CC(C)(C)OC(=O)NCC(=O)Nc1nc(Cl)nc2[nH]cnc12,1
CN(CC(=O)Nn1cnnc1)C(=O)OC(C)(C)C,1
CCOC(=O)CNC(C)=O,1
CC(CN)=Nn1cnnc1,1
CC(=O)NCC(C)O,1
COC(=O)c1ccc(NS(C)(=O)=O)c(C)c1,1
CCOC(=O)c1cncc(Br)c1,1
CC(=O)CN(C(C)=O)C(=O)C(F)(F)F,1
CCOC(=O)CN(C)C(C)=O,1
CNCCNn1cnnc1,1
O=C(O)n1cnc(Br)c1,1
CCOC(=O)CNC,1
CC(C)(C)OC(=O)N(CC(=O)O)S(C)(=O)=O,1
COc1ccc(C(=O)[O-])cc1,1
CC(O)CNC(=O)c1cnn(C)c1,1
CC(C)[C@@H](CO)NC(=O)OC(C)(C)C,1
COC(=O)c1ccc([N+](=O)[O-])c(C)c1,1
COc1ccc(C(=O)[O-])cc1Br,1
O=C(O)c1cncc(Br)c1,1
CC(=O)[O-],1
Cc1cc(C(=O)O)ccc1[N+](=O)[O-],1
CC(C)(C)OC(=O)N(CC(=O)Nc1ccc(Cl)cc1N)S(C)(=O)=O,1
CNCC(=O)Nn1cnnc1,1
CCOC(=O)CN(C)S(C)(=O)=O,1
CN(CC(=O)O)C(=O)OC(C)(C)C,1
CCOC(=O)C(F)(F)F,1
CC(=O)O,1
CNc1cc(=O)[nH]cn1,1
CC(C)(C)O,1
COC(=O)c1ccc(Br)c(C)c1,1
CCBr,1
COc1ccc(C(=O)O)cc1,1
CCOC(=O)CN(C(C)=O)C(=O)OC(C)(C)C,1
Oc1ccc(-c2ccccc2)cc1,1
CCOC(=O)CNC(=O)OC(C)(C)C,1
CCOC(=O)CN(C)C(=O)OC(C)(C)C,1
