,PC 1,PC 2,Class
285,-8.618426,-56.77584,All candidates
286,31.695272,-29.924673,All candidates
287,-39.868736,-6.9254503,All candidates
288,-3.3089304,-60.683937,All candidates
289,24.51604,55.148785,All candidates
290,-31.654236,26.41953,All candidates
291,34.398746,-54.124226,All candidates
292,5.028559,22.639513,All candidates
293,-27.856247,31.84489,All candidates
294,20.227337,27.756182,All candidates
295,14.168453,-3.3283193,All candidates
296,37.359364,-52.67877,All candidates
297,-1.9361781,73.901665,All candidates
298,-60.267838,-27.31149,All candidates
299,-8.501461,-40.48064,All candidates
300,-2.0332768,73.83107,All candidates
301,21.93791,-45.767162,All candidates
302,-16.310665,-2.3540108,All candidates
303,23.585371,-29.548758,All candidates
304,44.161457,-36.188282,All candidates
305,-32.83601,27.825247,All candidates
306,-38.53662,-42.136097,All candidates
307,37.460945,-21.06852,All candidates
308,-20.494137,30.808273,All candidates
309,-77.34289,2.6631777,All candidates
310,37.721546,-52.01889,All candidates
311,-81.83546,10.704541,All candidates
312,38.96208,42.894928,All candidates
313,-4.7267036,39.702404,All candidates
314,8.700703,43.40532,All candidates
315,34.853302,11.913276,All candidates
316,21.28235,15.751387,All candidates
317,58.089,-20.969019,All candidates
318,-0.713279,37.290848,All candidates
319,-14.282975,71.72414,All candidates
320,-63.16932,-29.185545,All candidates
321,5.507148,-66.68726,All candidates
322,-39.849586,-6.6490526,All candidates
323,-21.619316,36.966755,All candidates
324,-17.342342,-3.9672537,All candidates
325,-23.755644,21.89462,All candidates
326,-8.119282,-40.285454,All candidates
327,-8.928686,-42.521843,All candidates
328,2.6702006,32.3905,All candidates
329,46.331993,-34.78369,All candidates
330,11.967101,7.015596,All candidates
331,3.1064312,-5.1891203,All candidates
332,-5.9244795,-43.301018,All candidates
333,44.602833,-25.008718,All candidates
334,37.818085,-31.773539,All candidates
335,-16.373049,-2.1441045,All candidates
336,-12.14181,42.77993,All candidates
337,4.4057374,3.3838263,All candidates
338,45.13492,-22.91084,All candidates
339,-14.362803,70.80664,All candidates
340,32.05055,-50.013752,All candidates
341,16.987232,-29.04696,All candidates
342,-7.912691,-41.50436,All candidates
343,26.373907,-38.894417,All candidates
344,-40.991024,-41.285713,All candidates
345,10.157999,15.491964,All candidates
346,8.001842,79.12668,All candidates
347,34.318817,-33.36796,All candidates
348,-19.2487,-68.41801,All candidates
349,9.57606,-12.640791,All candidates
350,-32.99055,27.797634,All candidates
351,10.799535,-51.012928,All candidates
352,6.154613,-68.988106,All candidates
353,6.1542077,-68.98735,All candidates
354,-4.9338107,-43.294262,All candidates
355,-80.54822,2.187572,All candidates
356,-35.938183,-35.752457,All candidates
357,5.1862574,73.36649,All candidates
358,-2.539836,16.297749,All candidates
359,4.268236,29.586452,All candidates
360,11.574961,-18.481544,All candidates
361,5.8117166,31.107285,All candidates
362,28.426874,8.158514,All candidates
363,-62.875755,-23.63054,All candidates
364,-17.19598,71.4262,All candidates
365,0.3609694,-68.00191,All candidates
366,-39.996506,-42.233017,All candidates
367,-59.677345,-23.634941,All candidates
368,-19.03849,-66.65749,All candidates
369,30.613222,34.362026,All candidates
370,33.580704,-51.624126,All candidates
371,-31.607618,29.7176,All candidates
372,33.12588,35.174572,All candidates
373,37.63914,44.298286,All candidates
374,34.497395,-48.428825,All candidates
375,-71.9475,-20.455477,All candidates
376,68.128426,0.040412813,All candidates
377,68.13556,0.23297885,All candidates
378,-68.135925,-21.77845,All candidates
379,4.660347,73.22113,All candidates
380,44.21638,-11.206615,All candidates
381,2.8303576,-63.120583,All candidates
382,2.1348119,-64.40058,All candidates
383,-10.448417,37.824726,All candidates
384,26.559778,-39.24311,All candidates
385,4.04998,29.981543,All candidates
386,36.173645,-19.355295,All candidates
387,-20.205303,-68.32991,All candidates
388,40.913544,-50.97743,All candidates
389,14.536004,-40.034748,All candidates
390,-58.005806,-18.82574,All candidates
391,6.088487,-69.20093,All candidates
392,6.0884748,-69.20107,All candidates
393,-5.45061,43.745342,All candidates
394,40.21933,-26.237816,All candidates
395,-39.310368,-43.214798,All candidates
396,7.0463295,77.20684,All candidates
397,-4.9305987,14.017886,All candidates
398,-6.382342,40.63239,All candidates
399,-58.2518,-18.973696,All candidates
400,25.707483,-13.075443,All candidates
401,25.707851,-13.075434,All candidates
402,41.895805,-13.415158,All candidates
403,-63.862926,-29.931698,All candidates
404,5.9241176,31.040966,All candidates
405,-33.80623,27.248688,All candidates
406,12.505081,77.61793,All candidates
407,67.005615,0.04291485,All candidates
408,40.671448,-41.308758,All candidates
409,-17.997206,36.749893,All candidates
410,-22.529634,-67.74384,All candidates
411,-6.431628,40.61402,All candidates
412,10.60531,-61.08414,All candidates
413,-8.220165,45.91825,All candidates
414,34.375526,-12.831575,All candidates
415,-11.190205,10.903729,All candidates
416,40.3014,45.165195,All candidates
417,7.5314755,78.881424,All candidates
418,6.8765697,-58.884945,All candidates
419,-9.063602,41.588703,All candidates
420,-39.008503,-44.794064,All candidates
421,-40.448296,-43.44489,All candidates
422,12.418294,78.64438,All candidates
423,20.737892,-30.045649,All candidates
424,12.841008,-48.523148,All candidates
425,-35.60507,-34.30553,All candidates
426,-41.160454,-42.999664,All candidates
427,-39.311317,-44.974026,All candidates
428,-32.46566,15.232966,All candidates
429,0.50799996,36.070496,All candidates
430,-78.807495,10.544437,All candidates
431,-40.149376,-6.205437,All candidates
